word1	word2	score_human	score_embeddings
furnace	stove	8.79	0.6343125104904175
food	fruit	7.52	0.5550151467323303
bird	cock	7.1	0.2175922989845276
bird	crane	7.38	0.4538818597793579
tool	implement	6.46	0.4231148660182953
brother	monk	6.27	0.3381092846393585
crane	implement	2.69	0.15489374101161957
lad	brother	4.46	0.5048907399177551
journey	car	5.85	0.28467124700546265
monk	oracle	5.0	0.18725617229938507
cemetery	woodland	2.08	0.3612326383590698
food	rooster	4.42	0.19146239757537842
coast	hill	4.38	0.4513964056968689
forest	graveyard	1.85	0.3383488357067108
shore	woodland	3.08	0.35802754759788513
monk	slave	0.92	0.22631172835826874
coast	forest	3.15	0.40763986110687256
lad	wizard	0.92	0.27458426356315613
chord	smile	0.54	0.1979042887687683
glass	magician	2.08	0.12764297425746918
noon	string	0.54	0.049240268766880035
rooster	voyage	0.62	0.057133935391902924
money	dollar	8.42	0.6285496354103088
money	currency	9.04	0.5075135231018066
money	wealth	8.27	0.5998483896255493
money	property	7.57	0.38346362113952637
money	possession	7.29	0.297101229429245
money	bank	8.5	0.5666828751564026
money	deposit	7.73	0.4946562945842743
money	withdrawal	6.88	0.30716538429260254
money	laundering	5.65	0.35499119758605957
money	operation	3.31	0.23873363435268402
tiger	jaguar	8.0	0.5203651189804077
tiger	feline	8.0	0.38687968254089355
tiger	carnivore	7.08	0.38654741644859314
tiger	mammal	6.85	0.4245854914188385
tiger	animal	7.0	0.48438745737075806
tiger	organism	4.77	0.1123277023434639
tiger	fauna	5.62	0.32840511202812195
tiger	zoo	5.87	0.4848748743534088
psychology	psychiatry	8.08	0.6991487145423889
psychology	anxiety	7.0	0.46610766649246216
psychology	fear	6.85	0.3348580598831177
psychology	depression	7.42	0.4509771168231964
psychology	clinic	6.58	0.3083050847053528
psychology	doctor	6.42	0.30557140707969666
psychology	Freud	8.21	0.34699979424476624
psychology	mind	7.69	0.4232500493526459
psychology	health	7.23	0.4104190766811371
psychology	science	6.71	0.6629188656806946
psychology	discipline	5.58	0.5323787331581116
psychology	cognition	7.48	0.5679224729537964
planet	star	8.45	0.37729600071907043
planet	constellation	8.06	0.42562779784202576
planet	moon	8.08	0.61631840467453
planet	sun	8.02	0.45857176184654236
planet	galaxy	8.11	0.5929405093193054
planet	space	7.92	0.4850500226020813
planet	astronomer	7.94	0.3209034502506256
precedent	example	5.85	0.33623743057250977
precedent	information	3.85	0.16224640607833862
precedent	cognition	2.81	0.16029168665409088
precedent	law	6.65	0.5652430057525635
precedent	collection	2.5	0.0991387665271759
precedent	group	1.77	0.07178357243537903
precedent	antecedent	6.04	0.4012334942817688
cup	coffee	6.58	0.5376172065734863
cup	tableware	6.85	0.21516312658786774
cup	article	2.4	0.06299499422311783
cup	artifact	2.92	-0.0031353130470961332
cup	object	3.69	0.1384231597185135
cup	entity	2.15	0.03179468587040901
cup	drink	7.25	0.4970637261867523
cup	food	5.0	0.35227832198143005
cup	substance	1.92	0.16081051528453827
cup	liquid	5.9	0.41556793451309204
jaguar	cat	7.42	0.3325071930885315
jaguar	car	7.27	0.3505229651927948
energy	secretary	1.81	0.12513399124145508
secretary	senate	5.06	0.414682000875473
energy	laboratory	5.09	0.28896364569664
computer	laboratory	6.78	0.37857261300086975
weapon	secret	6.06	0.35435304045677185
FBI	fingerprint	6.94	0.3638801872730255
FBI	investigation	8.31	0.38116371631622314
investigation	effort	4.59	0.4202725887298584
Mars	water	2.94	0.10861019790172577
Mars	scientist	5.63	0.1489471197128296
news	report	8.16	0.5086700320243835
canyon	landscape	7.53	0.38366150856018066
image	surface	4.56	0.35397011041641235
discovery	space	6.34	0.3020177483558655
water	seepage	6.56	0.4363568425178528
sign	recess	2.38	0.12401793152093887
Wednesday	news	2.22	0.3123834729194641
mile	kilometer	8.66	0.6627758741378784
computer	news	4.47	0.2539839446544647
territory	surface	5.34	0.22584515810012817
atmosphere	landscape	3.69	0.3676486909389496
president	medal	3.0	0.2065853476524353
war	troops	8.13	0.6583104133605957
record	number	6.31	0.42964351177215576
skin	eye	6.22	0.5819618701934814
Japanese	American	6.5	0.6047583222389221
theater	history	3.91	0.33891358971595764
volunteer	motto	2.56	0.2391522079706192
prejudice	recognition	3.0	0.2825106382369995
decoration	valor	5.63	0.18006440997123718
century	year	7.59	0.3300107717514038
century	nation	3.16	0.4178379476070404
delay	racism	1.19	0.1189286932349205
delay	news	3.31	0.23089933395385742
minister	party	6.63	0.34455606341362
peace	plan	4.75	0.3275059163570404
minority	peace	3.69	0.26356932520866394
attempt	peace	4.25	0.3122106194496155
government	crisis	6.56	0.5682721734046936
deployment	departure	4.25	0.18391022086143494
deployment	withdrawal	5.88	0.27696937322616577
energy	crisis	5.94	0.3533749580383301
announcement	news	7.56	0.5235081315040588
announcement	effort	2.75	0.32231560349464417
stroke	hospital	7.03	0.3190559148788452
disability	death	5.47	0.3797566890716553
victim	emergency	6.47	0.35565873980522156
treatment	recovery	7.91	0.450778990983963
journal	association	4.97	0.3752770721912384
doctor	personnel	5.0	0.261675626039505
doctor	liability	5.19	0.2146514505147934
liability	insurance	7.03	0.6519564390182495
school	center	3.44	0.36800849437713623
reason	hypertension	2.31	0.1708093136548996
reason	criterion	5.91	0.3297290503978729
hundred	percent	7.38	0.3814489543437958
Harvard	Yale	8.13	0.5909623503684998
hospital	infrastructure	4.63	0.26824846863746643
death	row	5.25	0.22124256193637848
death	inmate	5.03	0.4234057068824768
lawyer	evidence	6.69	0.3186118006706238
life	death	7.88	0.5892017483711243
life	term	4.5	0.419624000787735
word	similarity	4.75	0.29639631509780884
board	recommendation	4.47	0.43070676922798157
governor	interview	3.25	0.25037628412246704
OPEC	country	5.63	0.06632856279611588
peace	atmosphere	3.69	0.3093896210193634
peace	insurance	2.94	0.17750641703605652
territory	kilometer	5.28	0.23357932269573212
travel	activity	5.0	0.2556988596916199
competition	price	6.44	0.2779465615749359
consumer	confidence	4.13	0.379520982503891
consumer	energy	4.75	0.3921412527561188
problem	airport	2.38	0.19032132625579834
car	flight	4.94	0.36710453033447266
credit	card	8.06	0.6355141997337341
credit	information	5.31	0.39397791028022766
hotel	reservation	8.03	0.6042348742485046
grocery	money	5.94	0.3313688337802887
registration	arrangement	6.0	0.2717512845993042
arrangement	accommodation	5.41	0.31199783086776733
month	hotel	1.81	0.18448610603809357
type	kind	8.97	0.6323592662811279
arrival	hotel	6.0	0.3921999931335449
bed	closet	6.72	0.47612032294273376
closet	clothes	8.0	0.525564432144165
situation	conclusion	4.81	0.5435816049575806
situation	isolation	3.88	0.41337764263153076
impartiality	interest	5.16	0.192023366689682
direction	combination	2.25	0.2954338490962982
street	place	6.44	0.43450072407722473
street	avenue	8.88	0.5617212653160095
street	block	6.88	0.46323633193969727
street	children	4.94	0.2821764647960663
listing	proximity	2.56	0.18164493143558502
listing	category	6.38	0.43090763688087463
cell	phone	7.81	0.6221641898155212
production	hike	1.75	0.08158250898122787
benchmark	index	4.25	0.47031667828559875
media	trading	3.88	0.2093915194272995
media	gain	2.88	0.26636990904808044
dividend	payment	7.63	0.3891731798648834
dividend	calculation	6.48	0.370594322681427
calculation	computation	8.44	0.7431252598762512
currency	market	7.5	0.49377378821372986
OPEC	oil	8.59	0.2755904495716095
oil	stock	6.34	0.4367785155773163
announcement	production	3.38	0.21483123302459717
announcement	warning	6.0	0.4039590358734131
profit	warning	3.88	0.1364624947309494
profit	loss	7.63	0.41950541734695435
dollar	yen	7.78	0.5975488424301147
dollar	buck	9.22	0.4681802988052368
dollar	profit	7.38	0.6185226440429688
dollar	loss	6.09	0.29595285654067993
computer	software	8.5	0.6707153916358948
network	hardware	8.31	0.40790870785713196
phone	equipment	7.13	0.2732887864112854
equipment	maker	5.91	0.31730860471725464
luxury	car	6.47	0.43053698539733887
five	month	3.38	0.5083650946617126
report	gain	3.63	0.21243862807750702
investor	earning	7.13	0.3020040690898895
liquid	water	7.89	0.612253725528717
baseball	season	5.97	0.4617716372013092
game	victory	7.03	0.42292094230651855
game	team	7.69	0.517922043800354
marathon	sprint	7.47	0.45700621604919434
game	series	6.19	0.3777080476284027
game	defeat	6.97	0.39387568831443787
seven	series	3.56	0.3904993236064911
seafood	sea	7.47	0.4700360894203186
seafood	food	8.34	0.6674726009368896
seafood	lobster	8.7	0.7227064967155457
lobster	food	7.81	0.4343297481536865
lobster	wine	5.7	0.3838639259338379
food	preparation	6.22	0.40275898575782776
video	archive	6.34	0.3904654085636139
start	year	4.06	0.46468237042427063
start	match	4.47	0.40193986892700195
game	round	5.97	0.34987881779670715
boxing	round	7.61	0.3239991068840027
championship	tournament	8.36	0.7832086086273193
fighting	defeating	7.41	0.5287124514579773
line	insurance	2.69	0.3235222101211548
day	summer	3.94	0.5831630229949951
summer	drought	7.16	0.3661036491394043
summer	nature	5.63	0.3122774660587311
day	dawn	7.53	0.49378034472465515
nature	environment	8.31	0.5545734763145447
environment	ecology	8.81	0.5066471695899963
nature	man	6.25	0.39780426025390625
man	woman	8.3	0.7401744723320007
man	governor	5.25	0.292152464389801
murder	manslaughter	8.53	0.6380693316459656
soap	opera	7.94	0.37958577275276184
opera	performance	6.88	0.3459014296531677
life	lesson	5.94	0.37930718064308167
focus	life	4.06	0.47771793603897095
production	crew	6.25	0.2966073751449585
television	film	7.72	0.44325846433639526
lover	quarrel	6.19	0.2912386357784271
viewer	serial	2.97	0.34732159972190857
possibility	girl	1.94	0.18110015988349915
population	development	3.75	0.35986873507499695
morality	importance	3.31	0.45180079340934753
morality	marriage	3.69	0.43408387899398804
Mexico	Brazil	7.44	0.5727086067199707
gender	equality	6.41	0.6444955468177795
change	attitude	5.44	0.47672921419143677
family	planning	6.25	0.41852131485939026
opera	industry	2.63	0.15911392867565155
sugar	approach	0.88	0.13429786264896393
practice	institution	3.19	0.363805890083313
ministry	culture	4.69	0.3152298331260681
problem	challenge	6.75	0.4002554714679718
size	prominence	5.31	0.11858710646629333
country	citizen	7.31	0.45205387473106384
planet	people	5.75	0.3757440149784088
development	issue	3.97	0.3168586194515228
experience	music	3.47	0.33306893706321716
music	project	3.63	0.2848106622695923
glass	metal	5.56	0.548746645450592
aluminum	metal	7.83	0.6605355143547058
chance	credibility	3.88	0.35805806517601013
exhibit	memorabilia	5.31	0.32997849583625793
concert	virtuoso	6.81	0.3547617495059967
rock	jazz	7.59	0.5751934051513672
museum	theater	7.19	0.4840686321258545
observation	architecture	4.38	0.24669305980205536
space	world	6.53	0.38654017448425293
preservation	world	6.19	0.21620146930217743
admission	ticket	7.69	0.5006658434867859
shower	thunderstorm	6.31	0.27617645263671875
shower	flood	6.03	0.2303464561700821
weather	forecast	8.34	0.6771948933601379
disaster	area	6.25	0.26802513003349304
governor	office	6.34	0.372675359249115
architecture	century	3.78	0.4325028359889984
Pearson correlation btw human score and embedding score: 0.7081373251738088
